consortium,cases,case_female,case_age_mean,case_age_sd,controls,control_female,control_age_mean,control_age_sd
ACT,566.00,63.10,83.90,4.80,1696.00,55.80,81.10,6.00
ADC1,1411.00,53.90,72.50,7.10,515.00,59.20,75.00,8.00
ADC2,737.00,51.00,73.20,7.10,160.00,68.80,75.70,7.90
ADC3,364.00,50.80,74.40,8.00,570.00,63.90,75.20,9.80
ADNI,268.00,42.20,73.00,7.20,173.00,40.50,78.60,5.50
GSK,669.00,56.80,74.60,6.20,713.00,64.00,73.80,7.00
LOAD,1811.00,64.90,73.60,6.70,1572.00,60.20,74.00,8.50
MAYO,728.00,57.60,NA,NA,1173.00,51.20,72.90,4.30
MIRAGE,509.00,63.70,71.20,6.50,742.00,58.10,72.00,7.20
OHSU,131.00,61.80,86.10,5.50,153.00,54.90,83.90,7.60
ROSMAP,291.00,70.50,85.60,6.30,776.00,72.00,82.00,7.00
TGEN2,129.00,46.60,74.90,7.20,493.00,37.70,80.10,8.70
UMVUMSS,1070.00,63.70,73.90,7.80,1128.00,61.30,73.00,7.10
UPITT,1271.00,63.10,72.90,6.40,841.00,63.40,75.40,6.10
WASHU,318.00,55.70,74.20,8.00,187.00,60.40,76.90,8.40
AGES,78.00,50.00,81.00,5.00,2694.00,58.00,76.00,5.00
CHS.inc,353.00,68.90,82.10,5.10,1732.00,62.00,74.50,4.50
CHS.prev,68.00,50.00,80.10,5.70,102.00,61.50,74.80,4.70
FHS.inc,117.00,59.00,86.40,6.40,2966.00,54.10,75.90,9.30
FHS.prev,66.00,72.80,85.00,8.00,3334.00,45.20,70.10,10.00
RS.inc,462.00,59.00,82.00,7.00,5238.00,59.00,69.00,9.00
RS.prev,171.00,75.00,84.00,9.00,5700.00,59.00,69.00,9.00
EADI,2243.00,64.90,68.50,8.90,6017.00,60.70,74.00,5.40
GERAD,3177.00,64.00,73.00,8.50,7277.00,51.80,51.00,11.80
,,,,,,,,
