consortium	n_case	sex_case	mean_age_case	sd_age_case	n_control	sex_control	mean_age_control	sd_age_control
ADGC	10273	59.4	74.7	7.7	10892	58.6	76.3	8.1
CHARGE	1315	63.6	82.7	6.8	12968	57.8	72.8	8.6
EADI	2243	64.9	68.5	8.9	6017	60.7	74.0	5.4
GERAD	3177	64.0	73.0	8.5	7277	51.8	51.0	11.8
Austria	210	61.0	72.5	8.1	829	43.3	65.5	8.0
Belgium	878	66.1	75.4	8.6	661	59.5	65.7	14.3
Finland	422	68.0	71.4	6.9	562	59.3	69.1	6.2
Germany	972	63.9	73.0	8.6	2378	53.1	69.5	10.1
Greece	256	63.3	69.2	8.0	229	34.1	49.3	16.4
Hungary	125	68.0	74.9	6.8	100	69.0	74.4	6.5
Italy	1729	66.5	71.5	8.7	720	55.7	70.0	10.4
Spain	2121	66.3	75.0	8.3	1921	55.3	70.2	10.8
Sweden	797	61.7	76.8	8.1	1506	62.8	70.6	8.7
UK	490	57.6	74.6	8.7	1066	29.2	73.8	6.5
United States	572	61.9	83.5	7.6	1340	54.0	79.3	6.8

